_model_string,abbrev_len,batch_size,checkpt_mod,cmp_layer,cmp_len,csl_scale,csl_task,data_batch_size,data_cache,data_root,dataset,device_map,exp_folder,exp_name,exp_num,gen_ids,gen_targs,git_hash,grad_clip,grad_scaling,high_acc,high_loss,high_top_k,l2,loss_scale,low_acc,low_loss,low_top_k,lr,max_val_loops,model_folder,model_parallel,model_string,multi_gpu,n_cmps,n_data_procs,n_epochs,n_grad_loops,n_train_loops,pad_token,patience,proj_cmpr,proj_hid_mult,rank,results_file,rmb_only,rmb_task,save_folder,save_root,search_keys,seed,sep_cmpr,seq_len,seq_overlap,test_model_str,thigh_acc,thigh_loss,thigh_top_k,tlow_acc,tlow_loss,tlow_top_k,torch_dtype,train_embs,train_lmhead,val_batch_size
gpt2,1000000,16,,-2,10,,,1000,/data2/pdp/grantsrb/.cache,/data2/pdp/grantsrb/datasplits/,openwebtext,,/data2/pdp/grantsrb/sa_saves/trsearch_gpt2,trsearch_gpt2,0,False,False,520e239c75e7846e1b91d44a3e8194235f6023e9,0,False,0.0162,2.716,,0,0.25,0.0079,2.9531,,0.0005,500,trsearch_gpt2_0_rmb_taskFalse_train_embsTrue,False,bigscience/bloomz-560m,False,1,4,30,4,10000,<|endoftext|>,5,,,,./baseline_results.csv,False,False,/data2/pdp/grantsrb/sa_saves/trsearch_gpt2/trsearch_gpt2_0_rmb_taskFalse_train_embsTrue,/data2/pdp/grantsrb/sa_saves/,_rmb_taskFalse_train_embsTrue,123456,,20,0,,0.2884,1.1089,,0.2408,1.217,,float32,True,False,100
bigscience/bloomz-560m,10000,16,,-2,30,1.0,False,1000,/data2/pdp/grantsrb/.cache,/data2/pdp/grantsrb/datasplits/,blog_authorship_corpus,,/data2/pdp/grantsrb/sa_saves/gpt2proj_blog,gpt2proj_blog,0,False,False,e5440f14e06883c9b93aba8eb8af50490b70b568,0,False,0.0226,2.626,0.059,0,0.25,0.0099,2.941,0.0355,0.0005,500,gpt2proj_blog_0_lr0.0005,False,gpt2,False,1,4,30,4,10000,<|endoftext|>,5,True,0.0,0.0,./baseline_results.csv,False,False,/data2/pdp/grantsrb/sa_saves/gpt2proj_blog/gpt2proj_blog_0_lr0.0005,/data2/pdp/grantsrb/sa_saves/,_lr0.0005,123456,False,40,0,,0.2569,1.1184,0.4686,0.2371,1.1745,0.4426,float32,False,False,50
